id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
19972576,Romantic room at Maleth Inn Guesthouse,63240685,Caroline,,Mdina,35.88397,14.40193,Private room,45,1,135,2021-12-09,2.53,11,78,49,
25502740,Charming & Sweet 300 Y.O.Townhouse in Mdina Centre,8615907,Andrea,,Mdina,35.88628,14.40264,Entire home/apt,60,4,67,2021-12-11,1.55,4,319,12,
15417457,Room 1 or 3 or 12,15414221,Samantha,,Mdina,35.88382,14.40367,Private room,140,1,4,2019-08-05,0.06,6,348,0,
25945986,Stunningly Restored 500 Y.O. Palazzo in Mdina,8615907,Andrea,,Mdina,35.88726,14.40266,Entire home/apt,269,5,42,2021-11-21,1.00,4,297,8,
4904744,Mdina | Regal House of Character: incredible view!,8615907,Andrea,,Mdina,35.88618,14.40292,Entire home/apt,64,4,120,2021-12-28,1.56,4,316,6,
757581,"Mdina, a unique historic  B&B",3987056,Antonio,,Mdina,35.88552,14.40192,Private room,55,2,240,2021-12-24,2.28,1,354,18,
24488863,"The Bastion, Mdina",7662748,Karina,,Mdina,35.88804,14.40167,Entire home/apt,500,7,7,2021-10-30,0.17,1,133,3,
19960374,Family room with Maltese balcony at Maleth Inn,63240685,Caroline,,Mdina,35.88408,14.40191,Hotel room,53,1,46,2021-12-15,1.04,11,89,23,
4600348,Mdina| 3 BR Traditional Townhouse in Mdina's Heart,8615907,Andrea,,Mdina,35.88632,14.40279,Entire home/apt,90,5,94,2021-12-09,1.10,4,301,9,
4660019,12 Century Cozy 1BD apartment in Mdina.,21395067,Josephine,,Mdina,35.88772,14.40419,Entire home/apt,46,2,198,2021-11-28,2.42,1,306,22,
21002440,Deluxe Penthouse Suite at Maleth Inn Guesthouse,63240685,Caroline,,Mdina,35.8839,14.40219,Private room,100,1,74,2021-12-07,1.62,11,88,23,
16291774,Duplex Solitary Maisonette,86459884,Andrew,,Zejtun,35.85251,14.52852,Entire home/apt,84,1,0,,,1,0,0,
24347104,Old Meets New,183708611,Marion,,Mdina,35.88475,14.40178,Entire home/apt,90,3,73,2021-11-20,1.64,2,275,11,
19941955,Ground Floor Room at Maleth Inn Guesthouse,63240685,Caroline,,Mdina,35.88401,14.402,Hotel room,64,1,28,2020-03-12,0.52,11,243,0,
34254189,"Tulip room; modern room, close to the airport.",162412944,Victoria,,Zejtun,35.85247,14.53131,Private room,25,1,65,2021-11-29,2.04,3,85,17,
36632363,"Rose room- close to the airport, room with balcony",162412944,Victoria,,Zejtun,35.85243,14.53259,Private room,19,1,7,2019-12-02,0.25,3,0,0,
36544032,Avalon flats,46500306,Mey,,Zejtun,35.85857,14.54099,Private room,25,1,0,,,1,90,0,
